x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+243.7340000E-03,+3.2773870453E+00,+2.9271357208E+00,+3.3040201068E+00,-40.2009778E-03
+243.7341563E-03,+3.2773870453E+00,+2.9271357208E+00,+3.3040201068E+00,-52.7637918E-03
+243.7343125E-03,+3.2773870453E+00,+2.9271357208E+00,+3.3040201068E+00,-66.8341434E-03
+243.7344688E-03,+3.2773870453E+00,+2.9271357208E+00,+3.3040201068E+00,-68.3416810E-03
+243.7346250E-03,+3.2773870453E+00,+2.9271357208E+00,+3.3040201068E+00,-57.7889173E-03
+243.7347813E-03,+3.2773870453E+00,+2.9271357208E+00,+3.3040201068E+00,-45.2261034E-03
+243.7349375E-03,+3.2773870453E+00,+2.9271357208E+00,+3.3040201068E+00,-35.6783648E-03
+243.7350938E-03,+3.2773870453E+00,+2.9798995403E+00,+3.3040201068E+00,-44.7235908E-03
+243.7352500E-03,+3.2773870453E+00,+3.0527638625E+00,+3.3040201068E+00,-60.3014801E-03
+243.7354063E-03,+3.2773870453E+00,+3.1080402449E+00,+3.3040201068E+00,-69.8492187E-03
+243.7355625E-03,+3.2773870453E+00,+3.0753769281E+00,+3.3040201068E+00,-63.8190680E-03
+243.7357188E-03,+3.2773870453E+00,+3.0025126059E+00,+3.3040201068E+00,-50.2512290E-03
+243.7358750E-03,+3.2773870453E+00,+2.9472362235E+00,+3.3040201068E+00,-37.6884150E-03
+243.7360313E-03,+3.2592965933E+00,+2.9271357208E+00,+3.2587939758E+00,-25.1256011E-03
+243.7361875E-03,+3.2321609152E+00,+2.9271357208E+00,+3.1909547793E+00,-12.5627872E-03
+243.7363438E-03,+3.2070352873E+00,+2.9271357208E+00,+3.1281407085E+00,+1.5075644E-03
+243.7365000E-03,+3.1969850361E+00,+2.9271357208E+00,+3.1030150801E+00,+26.8E-09
+243.7366563E-03,+3.1969850361E+00,+2.9271357208E+00,+3.1030150801E+00,-12.5627872E-03
+243.7368125E-03,+3.1969850361E+00,+2.9271357208E+00,+3.1030150801E+00,-26.6331388E-03
+243.7369688E-03,+3.2060302622E+00,+2.9271357208E+00,+3.1256281456E+00,-32.6632895E-03
+243.7371250E-03,+3.2271357896E+00,+2.9271357208E+00,+3.1783919651E+00,-32.6632895E-03
+243.7372813E-03,+3.2522614174E+00,+2.9271357208E+00,+3.2412060359E+00,-32.6632895E-03
+243.7374375E-03,+3.2713568946E+00,+2.9271357208E+00,+3.2889447298E+00,-32.6632895E-03
+243.7375938E-03,+3.2773870453E+00,+2.8668342129E+00,+3.2437185989E+00,-32.6632895E-03
+243.7377500E-03,+3.2773870453E+00,+2.7889447651E+00,+3.1658291510E+00,-32.6632895E-03
+243.7379063E-03,+3.2773870453E+00,+2.7412060712E+00,+3.1180904571E+00,-32.6632895E-03
+243.7380625E-03,+3.2562815179E+00,+2.7713568251E+00,+3.1482412110E+00,-43.2160531E-03
+243.7382188E-03,+3.2271357896E+00,+2.8391960216E+00,+3.2160804075E+00,-57.7889173E-03
+243.7383750E-03,+3.2050252371E+00,+2.9020100924E+00,+3.2788944784E+00,-68.8441936E-03
+243.7385313E-03,+3.2120604128E+00,+2.9648241633E+00,+3.3040201068E+00,-65.3266057E-03
+243.7386875E-03,+3.2371860407E+00,+3.0276382341E+00,+3.3040201068E+00,-52.7637918E-03
+243.7388438E-03,+3.2653267439E+00,+3.0979899935E+00,+3.3040201068E+00,-38.6934402E-03
+243.7390000E-03,+3.2773870453E+00,+3.0603015512E+00,+3.3040201068E+00,-40.2009778E-03
+243.7391563E-03,+3.2773870453E+00,+2.9396985352E+00,+3.3040201068E+00,-52.7637917E-03
+243.7393125E-03,+3.2773870453E+00,+2.7914573280E+00,+3.3040201068E+00,-66.8341433E-03
+243.7394688E-03,+3.2773870453E+00,+2.7713568251E+00,+3.3040201068E+00,-68.3416810E-03
+243.7396250E-03,+3.2773870453E+00,+2.8768844640E+00,+3.3040201068E+00,-57.7889173E-03
+243.7397813E-03,+3.2773870453E+00,+3.0025126057E+00,+3.3040201068E+00,-45.2261034E-03
+243.7399375E-03,+3.2773870453E+00,+3.0979899934E+00,+3.3040201068E+00,-35.6783648E-03
+243.7400938E-03,+3.2532664426E+00,+3.0678392397E+00,+3.3040201068E+00,-44.7235908E-03
+243.7402500E-03,+3.2221106640E+00,+2.9899497918E+00,+3.3040201068E+00,-60.3014801E-03
+243.7404063E-03,+3.2030151868E+00,+2.9422110979E+00,+3.3040201068E+00,-69.8492187E-03
