x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-30.0000E-03,+3.2773870E+00,+3.1281407E+00,+3.1859296E+00,-110.5527E-03
-29.8500E-03,+3.1969850E+00,+2.9271357E+00,+3.1859296E+00,-30.1507E-03
-29.7000E-03,+3.1969850E+00,+2.9271357E+00,+3.1859296E+00,-110.5527E-03
-29.5500E-03,+3.1969850E+00,+2.9271357E+00,+3.1859296E+00,-110.5527E-03
-29.4000E-03,+3.2773870E+00,+2.9271357E+00,+3.1859296E+00,-110.5527E-03
-29.2500E-03,+3.1969850E+00,+2.9271357E+00,+3.1859296E+00,-110.5527E-03
-29.1000E-03,+3.1969850E+00,+2.9271357E+00,+3.1859296E+00,-30.1507E-03
-28.9500E-03,+3.1969850E+00,+2.9271357E+00,+3.1859296E+00,-110.5527E-03
-28.8000E-03,+3.1969850E+00,+2.9271357E+00,+3.1859296E+00,-110.5527E-03
-28.6500E-03,+3.2773870E+00,+2.9271357E+00,+3.1859296E+00,-110.5527E-03
-28.5000E-03,+3.1969850E+00,+2.9271357E+00,+3.3869347E+00,-30.1507E-03
-28.3500E-03,+3.2773870E+00,+2.9271357E+00,+3.1859296E+00,-30.1507E-03
-28.2000E-03,+3.1969850E+00,+2.7261307E+00,+3.1859296E+00,-110.5527E-03
-28.0500E-03,+3.1969850E+00,+2.9271357E+00,+3.1859296E+00,-110.5527E-03
-27.9000E-03,+3.2773870E+00,+2.9271357E+00,+3.1859296E+00,-30.1507E-03
-27.7500E-03,+3.2773870E+00,+2.9271357E+00,+3.1859296E+00,-110.5527E-03
-27.6000E-03,+3.2773870E+00,+2.9271357E+00,+3.1859296E+00,-110.5527E-03
-27.4500E-03,+3.2773870E+00,+2.9271357E+00,+3.1859296E+00,-30.1507E-03
-27.3000E-03,+3.1165830E+00,+2.9271357E+00,+3.3869347E+00,-110.5527E-03
-27.1500E-03,+3.1969850E+00,+2.9271357E+00,+3.1859296E+00,-110.5527E-03
-27.0000E-03,+3.1969850E+00,+2.9271357E+00,+2.9849246E+00,-30.1507E-03
-26.8500E-03,+3.2773870E+00,+3.1281407E+00,+3.1859296E+00,-30.1507E-03
-26.7000E-03,+3.1969850E+00,+2.9271357E+00,+3.1859296E+00,-30.1507E-03
-26.5500E-03,+3.1969850E+00,+3.1281407E+00,+3.1859296E+00,-110.5527E-03
-26.4000E-03,+3.2773870E+00,+2.9271357E+00,+3.3869347E+00,-30.1507E-03
