x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+239.7388000E-03,+3.1969850361E+00,-489.9497330E-03,+3.1859296262E+00,-35.7788298E-03
+239.7391125E-03,+3.1969850361E+00,-489.9497330E-03,+3.1859296262E+00,-72.5627490E-03
+239.7394250E-03,+3.1969850361E+00,-469.8492304E-03,+3.2060301289E+00,-110.5526984E-03
+239.7397375E-03,+3.1969850361E+00,-352.2612897E-03,+3.3236180695E+00,-110.5526984E-03
+239.7400500E-03,+3.1969850361E+00,-288.9447063E-03,+3.3547738487E+00,-97.6883769E-03
+239.7403625E-03,+3.2034171969E+00,-307.0351587E-03,+3.1859296262E+00,-30.1506892E-03
+239.7406750E-03,+3.2436182015E+00,-416.0803857E-03,+3.1859296262E+00,-30.1506892E-03
+239.7409875E-03,+3.2773870453E+00,-457.7889288E-03,+3.1537688220E+00,-43.0150106E-03
+239.7413000E-03,+3.2717589047E+00,-303.0150582E-03,+2.9969849011E+00,-110.5526984E-03
+239.7416125E-03,+3.2349749855E+00,-394.9748579E-03,+3.0804019872E+00,-110.5526984E-03
+239.7419250E-03,+3.1969850361E+00,-489.9497330E-03,+3.1859296262E+00,-110.5526984E-03
+239.7422375E-03,+3.1969850361E+00,-489.9497330E-03,+3.1859296262E+00,-110.5526984E-03
+239.7425500E-03,+3.2098493576E+00,-457.7889288E-03,+3.2180904304E+00,-97.6883769E-03
+239.7428625E-03,+3.2701508645E+00,-307.0351587E-03,+3.3688442006E+00,-37.3868700E-03
+239.7431750E-03,+3.2265327745E+00,-416.0803857E-03,+3.2597989736E+00,-81.0049600E-03
+239.7434875E-03,+3.2098493576E+00,-457.7889289E-03,+3.2180904304E+00,-97.6883770E-03
+239.7438000E-03,+3.2717589047E+00,-303.0150581E-03,+3.3728643011E+00,-35.7788298E-03
+239.7441125E-03,+3.2349749855E+00,-394.9748578E-03,+3.2809045014E+00,-72.5627490E-03
+239.7444250E-03,+3.1969850361E+00,-489.9497330E-03,+3.1859296262E+00,-102.5124975E-03
+239.7447375E-03,+3.1969850361E+00,-489.9497330E-03,+3.1859296262E+00,-55.4773221E-03
+239.7450500E-03,+3.1969850361E+00,-457.7889289E-03,+3.1859296262E+00,-30.1506892E-03
+239.7453625E-03,+3.2034171968E+00,-288.9447063E-03,+3.1859296262E+00,-30.1506892E-03
+239.7456750E-03,+3.2436182014E+00,-288.9447063E-03,+3.1859296262E+00,-30.1506892E-03
+239.7459875E-03,+3.2645227239E+00,-288.9447063E-03,+3.1859296262E+00,-30.1506892E-03
+239.7463000E-03,+3.2018091567E+00,-303.0150581E-03,+3.1859296262E+00,-41.4069704E-03
+239.7466125E-03,+3.2351759904E+00,-394.9748578E-03,+3.1859296262E+00,-114.9748088E-03
+239.7469250E-03,+3.2773870453E+00,-469.8492305E-03,+3.1859296262E+00,-190.9547076E-03
+239.7472375E-03,+3.2773870453E+00,-352.2612898E-03,+3.1859296262E+00,-190.9547076E-03
+239.7475500E-03,+3.2773870453E+00,-288.9447063E-03,+3.1537688222E+00,-178.0903862E-03
+239.7478625E-03,+3.2701508645E+00,-307.0351586E-03,+3.0010050015E+00,-110.5526984E-03
+239.7481750E-03,+3.2265327746E+00,-416.0803856E-03,+3.1015075149E+00,-110.5526984E-03
+239.7484875E-03,+3.2098493575E+00,-489.9497330E-03,+3.1859296262E+00,-97.6883770E-03
+239.7488000E-03,+3.2773870453E+00,-477.8894315E-03,+3.1859296262E+00,-35.7788298E-03
+239.7491125E-03,+3.2773870453E+00,-394.4723455E-03,+3.1859296262E+00,-72.5627490E-03
+239.7494250E-03,+3.2773870453E+00,-311.0552591E-03,+3.2060301287E+00,-110.5526984E-03
+239.7497375E-03,+3.2773870453E+00,-437.1859134E-03,+3.3236180694E+00,-110.5526984E-03
+239.7500500E-03,+3.2645227240E+00,-457.7889290E-03,+3.3869346529E+00,-110.5526984E-03
+239.7503625E-03,+3.2034171968E+00,-288.9447063E-03,+3.3688442007E+00,-110.5526984E-03
+239.7506750E-03,+3.2436182014E+00,-288.9447063E-03,+3.2597989737E+00,-110.5526984E-03
+239.7509875E-03,+3.2773870453E+00,-288.9447063E-03,+3.1859296262E+00,-110.5526984E-03
